year,doy,data_source_BVA,data_source_CHO,data_source_ELK,data_source_MAR,data_source_LAK,data_source_SFS,data_source_VAL,daily_mean_BVA,daily_mean_ELK,daily_mean_LAK,daily_mean_MAR,daily_mean_SFS,daily_mean_VAL,daily_mean_CHO
2003,122,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,2.964166667,3.943333333,6.193333333,NA
2003,123,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,2.349583333,3.751666667,5.20125,NA
2003,124,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,2.561666667,3.743333333,5.589583333,NA
2003,125,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,3.10625,3.90125,6.169583333,NA
2003,126,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,3.071666667,3.50625,5.454583333,NA
2003,127,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,4.188333333,4.332083333,6.8825,NA
2003,128,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,3.665833333,3.876666667,6.22,NA
2003,129,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,3.287916667,4.273333333,6.029583333,NA
2003,130,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,3.7725,4.1425,6.279166667,NA
2003,131,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,3.65875,4.215416667,6.990416667,NA
2003,132,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,2.957083333,3.877083333,6.279166667,NA
2003,133,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,3.965416667,5.079583333,8.017916667,NA
2003,134,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,3.12125,5.08,8.485416667,NA
2003,135,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,2.94375,5.246666667,8.48,NA
2003,136,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,2.72625,4.435833333,7.245833333,NA
2003,137,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,3.04,3.711666667,6.676666667,NA
2003,138,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,2.59875,2.750416667,4.857083333,NA
2003,139,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,4.289583333,3.727083333,6.331666667,NA
2003,140,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,4.895833333,4.304583333,7.474166667,NA
2003,141,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,6.091666667,5.124583333,8.67625,NA
2003,142,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,6.561666667,5.432916667,9.215833333,NA
2003,143,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,6.930833333,5.512083333,9.915,NA
2003,144,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,6.802083333,4.965,10.44708333,NA
2003,145,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,6.509583333,4.645833333,10.095,NA
2003,146,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,6.367916667,4.769583333,10.15041667,NA
2003,147,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,7.3125,5.179583333,10.66291667,NA
2003,148,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,7.0015,5.470833333,11.5025,NA
2003,149,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,8.2575,5.7775,12.17666667,NA
2003,150,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,7.51625,5.03,11.24041667,NA
2003,151,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,7.013333333,5.120416667,9.854166667,NA
2003,152,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,7.295,5.435,9.945,NA
2003,153,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,7.610416667,5.6325,10.29416667,NA
2003,154,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,7.204166667,5.44375,9.8975,NA
2003,155,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,7.214166667,5.557083333,10.08625,NA
2003,156,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,7.665416667,5.8575,10.665,NA
2003,157,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,8.0325,6.17875,11.10083333,NA
2003,158,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,8.365416667,6.298333333,11.46458333,NA
2003,159,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,8.164583333,6.407916667,11.19708333,NA
2003,160,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,8.598333333,6.675,11.28583333,NA
2003,161,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,8.252083333,6.560833333,10.84125,NA
2003,162,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,8.287916667,6.520833333,10.83541667,NA
2003,163,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,8.490833333,6.78875,11.10166667,NA
2003,164,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,7.859583333,6.739166667,10.60166667,NA
2003,165,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,8.70625,7.252083333,11.0575,NA
2003,166,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,8.41,7.423333333,10.56458333,NA
2003,167,team carcass,team carcass,team carcass,achord_gordy,team carcass,achord_gordy,achord_gordy,NA,NA,NA,9.534166667,8.113333333,12.13458333,NA
