stream,date,depth,depth_7day average
VAL,5/1/2003,1.6225,
VAL,5/2/2003,1.500416667,
VAL,5/3/2003,1.49375,
VAL,5/4/2003,1.6025,
VAL,5/5/2003,1.58125,
VAL,5/6/2003,1.434166667,
VAL,5/7/2003,1.3,1.504940476
VAL,5/8/2003,1.259583333,1.453095238
VAL,5/9/2003,1.4125,1.440535714
VAL,5/10/2003,1.564583333,1.450654762
VAL,5/11/2003,1.60625,1.451190476
VAL,5/12/2003,1.708333333,1.469345238
VAL,5/13/2003,1.872083333,1.531904762
VAL,5/14/2003,1.780833333,1.600595238
VAL,5/15/2003,1.809583333,1.679166667
VAL,5/16/2003,2.034166667,1.76797619
VAL,5/17/2003,1.9525,1.823392857
VAL,5/18/2003,2.071666667,1.889880952
VAL,5/19/2003,2.18875,1.958511905
VAL,5/20/2003,2.097916667,1.99077381
VAL,5/21/2003,2.102916667,2.036785714
VAL,5/22/2003,2.227916667,2.096547619
VAL,5/23/2003,2.377083333,2.145535714
VAL,5/24/2003,2.427083333,2.213333333
VAL,5/25/2003,2.562083333,2.283392857
VAL,5/26/2003,2.885,2.382857143
VAL,5/27/2003,3.175,2.53672619
VAL,5/28/2003,3.132083333,2.68375
VAL,5/29/2003,3.22625,2.826369048
VAL,5/30/2003,3.345416667,2.964702381
VAL,5/31/2003,3.575416667,3.12875
VAL,6/1/2003,3.497083333,3.262321429
VAL,6/2/2003,3.284583333,3.319404762
VAL,6/3/2003,3.185416667,3.320892857
VAL,6/4/2003,3.102083333,3.316607143
VAL,6/5/2003,3.042916667,3.290416667
VAL,6/6/2003,2.93125,3.23125
VAL,6/7/2003,2.93125,3.13922619
VAL,6/8/2003,2.830416667,3.043988095
VAL,6/9/2003,2.72875,2.964583333
VAL,6/10/2003,2.780833333,2.906785714
VAL,6/11/2003,2.788333333,2.861964286
VAL,6/12/2003,2.695833333,2.812380952
VAL,6/13/2003,2.69625,2.778809524
VAL,6/14/2003,2.760833333,2.754464286
VAL,6/15/2003,2.792916667,2.749107143
VAL,6/16/2003,2.763333333,2.754047619
VAL,6/17/2003,2.737083333,2.747797619
VAL,6/18/2003,2.642916667,2.72702381
VAL,6/19/2003,2.510833333,2.700595238
VAL,6/20/2003,2.539583333,2.678214286
VAL,6/21/2003,2.47875,2.637916667
VAL,6/22/2003,2.349166667,2.57452381
VAL,6/23/2003,2.16625,2.48922619
VAL,6/24/2003,2.1925,2.411428571
VAL,6/25/2003,2.33625,2.367619048
VAL,6/26/2003,2.311666667,2.339166667
VAL,6/27/2003,2.183333333,2.28827381
VAL,6/28/2003,2.157916667,2.242440476
VAL,6/29/2003,2.137083333,2.212142857
VAL,6/30/2003,2.125833333,2.206369048
VAL,7/1/2003,2.086666667,2.19125
VAL,7/2/2003,2.085416667,2.155416667
VAL,7/3/2003,2.085416667,2.123095238
VAL,7/4/2003,2.094583333,2.110416667
VAL,7/5/2003,1.999583333,2.087797619
VAL,7/6/2003,1.874583333,2.050297619
VAL,7/7/2003,1.792083333,2.002619048
VAL,7/8/2003,1.865416667,1.971011905
VAL,7/9/2003,2.024583333,1.962321429
VAL,7/10/2003,1.950833333,1.943095238
VAL,7/11/2003,1.890833333,1.913988095
VAL,7/12/2003,1.819583333,1.88827381
VAL,7/13/2003,1.795416667,1.876964286
VAL,7/14/2003,1.80875,1.879345238
VAL,7/15/2003,1.679583333,1.852797619
VAL,7/16/2003,1.68875,1.804821429
VAL,7/17/2003,1.779583333,1.780357143
VAL,7/18/2003,1.800833333,1.7675
VAL,7/19/2003,1.754583333,1.758214286
VAL,7/20/2003,1.7275,1.748511905
VAL,7/21/2003,1.684166667,1.730714286
VAL,7/22/2003,1.655833333,1.727321429
VAL,7/23/2003,1.570416667,1.710416667
VAL,7/24/2003,1.465,1.66547619
VAL,7/25/2003,1.470416667,1.61827381
VAL,7/26/2003,1.654583333,1.603988095
VAL,7/27/2003,1.765416667,1.609404762
VAL,7/28/2003,1.657083333,1.605535714
VAL,7/29/2003,1.605,1.59827381
VAL,7/30/2003,1.519166667,1.590952381
VAL,7/31/2003,1.414583333,1.58375
VAL,8/1/2003,1.4075,1.574761905
VAL,8/2/2003,1.34875,1.531071429
VAL,8/3/2003,1.38625,1.476904762
VAL,8/4/2003,1.498333333,1.45422619
VAL,8/5/2003,1.388333333,1.42327381
VAL,8/6/2003,1.315833333,1.39422619
VAL,8/7/2003,1.34875,1.384821429
VAL,8/8/2003,1.347083333,1.376190476
VAL,8/9/2003,1.359166667,1.377678571
VAL,8/10/2003,1.355833333,1.373333333
VAL,8/11/2003,1.273333333,1.341190476
VAL,8/12/2003,1.186666667,1.312380952
VAL,8/13/2003,1.23125,1.300297619
VAL,8/14/2003,1.302083333,1.293630952
VAL,8/15/2003,1.29375,1.286011905
VAL,8/16/2003,1.255,1.271130952
VAL,8/17/2003,1.238333333,1.254345238
VAL,8/18/2003,1.234583333,1.248809524
VAL,8/19/2003,1.168333333,1.246190476
VAL,8/20/2003,1.195416667,1.241071429
VAL,8/21/2003,1.21125,1.228095238
VAL,8/22/2003,1.206666667,1.215654762
VAL,8/23/2003,1.410833333,1.237916667
VAL,8/24/2003,1.375,1.257440476
VAL,8/25/2003,1.35375,1.274464286
VAL,8/26/2003,1.224583333,1.2825
VAL,8/27/2003,1.192083333,1.28202381
VAL,8/28/2003,1.197083333,1.28
VAL,8/29/2003,1.26125,1.287797619
VAL,8/30/2003,1.305833333,1.272797619
VAL,8/31/2003,1.249583333,1.254880952
VAL,9/1/2003,1.23625,1.238095238
VAL,9/2/2003,1.269583333,1.24452381
VAL,9/3/2003,1.27875,1.256904762
VAL,9/4/2003,1.232083333,1.261904762
VAL,9/5/2003,1.22,1.256011905
VAL,9/6/2003,1.195833333,1.240297619
