"BVA","CHO","ELK","LAK","MAR","SFS","VAL"
4.69,3.25,4.68,2.54,2.96,3.94,6.19
4.43,3.08,4.42,2.29,2.35,3.75,5.2
4.53,3.15,4.53,2.39,2.56,3.74,5.59
4.8,3.33,4.8,2.65,3.11,3.9,6.17
4.84,3.35,4.83,2.68,3.07,3.51,5.45
5.39,3.72,5.39,3.2,4.19,4.33,6.88
5.24,3.62,5.24,3.06,3.67,3.88,6.22
5.19,3.59,5.19,3.01,3.29,4.27,6.03
5.33,3.68,5.32,3.14,3.77,4.14,6.28
5.45,3.76,5.44,3.25,3.66,4.22,6.99
5.34,3.69,5.34,3.16,2.96,3.88,6.28
6,4.14,6.01,3.78,3.97,5.08,8.02
6.05,4.17,6.06,3.83,3.12,5.08,8.49
5.92,4.08,5.92,3.7,2.94,5.25,8.48
5.41,3.73,5.41,3.22,2.73,4.44,7.25
5.02,3.47,5.01,2.85,3.04,3.71,6.68
4.6,3.19,4.6,2.46,2.6,2.75,4.86
5.46,3.77,5.46,3.27,4.29,3.73,6.33
6.34,4.36,6.35,4.1,4.9,4.3,7.47
7.3,5,7.31,5,6.09,5.12,8.68
7.89,5.4,7.9,5.56,6.56,5.43,9.22
8.26,5.65,8.27,5.91,6.93,5.51,9.91
8.3,5.68,8.32,5.95,6.8,4.96,10.45
8.17,5.59,8.19,5.83,6.51,4.65,10.1
8.26,5.65,8.27,5.91,6.37,4.77,10.15
8.71,5.95,8.73,6.33,7.31,5.18,10.66
9.05,6.18,9.08,6.66,7,5.47,11.5
9.45,6.45,9.47,7.03,8.26,5.78,12.18
9.02,6.16,9.04,6.63,7.52,5.03,11.24
8.59,5.87,8.61,6.23,7.01,5.12,9.85
8.64,5.9,8.66,6.27,7.29,5.43,9.95
8.77,5.99,8.79,6.39,7.61,5.63,10.29
8.66,5.92,8.68,6.29,7.2,5.44,9.9
8.78,6,8.8,6.4,7.21,5.56,10.09
9.14,6.24,9.16,6.74,7.67,5.86,10.66
9.5,6.48,9.52,7.08,8.03,6.18,11.1
9.74,6.65,9.77,7.31,8.37,6.3,11.46
9.77,6.67,9.8,7.34,8.16,6.41,11.2
9.89,6.74,9.92,7.45,8.6,6.67,11.29
9.75,6.65,9.78,7.32,8.25,6.56,10.84
9.75,6.65,9.77,7.31,8.29,6.52,10.84
9.84,6.71,9.87,7.41,8.49,6.79,11.1
9.74,6.65,9.77,7.31,7.86,6.74,10.6
10.09,6.88,10.12,7.64,8.71,7.25,11.06
10.29,7.01,10.32,7.83,8.41,7.42,10.56
11.11,7.56,11.14,8.6,9.53,8.11,12.13
11.77,8.01,11.81,9.23,10.39,8.74,13.25
11.74,7.98,11.78,9.2,10.27,8.41,13.23
11.24,7.65,11.28,8.72,9.83,8.37,12.41
10.26,6.99,10.29,7.8,8.74,7.85,11
9.1,6.21,9.12,6.7,7.11,6.54,9.57
8.57,5.86,8.59,6.21,7.03,6.47,8.9
8.29,5.67,8.31,5.94,6.39,6.18,8.57
8.62,5.36,8.64,6.25,7.08,6.88,8.27
9.86,6.18,9.88,7.42,8.68,7.69,10.31
11.23,7.13,11.27,9.16,9.91,8.8,11.86
12.34,8.02,12.38,10.7,8.85,10.11,13.06
13.97,8.42,14.03,11.47,15.69,10.79,13.5
14.28,8.81,14.34,12.18,12.96,11.5,14.31
14.52,9.05,14.59,12.96,13.07,12.28,14.52
14.07,8.58,14.13,12.49,12.03,11.66,13.68
13.94,8.36,14,11.91,13.02,11.45,13.41
13.88,8.4,13.93,11.57,13.13,11.25,13.25
13.99,8.49,14.04,11.6,12.68,11.75,13.59
14.32,8.67,14.38,11.9,14.24,11.76,13.67
14.32,8.87,14.38,12.3,12.42,12.19,13.82
14.55,8.86,14.61,12.56,12.73,12.42,14.4
14.81,9.07,14.87,12.71,13.05,13.16,14.56
14.82,9.02,14.88,12.53,13.53,12.72,14.42
14.76,9.55,14.82,13.18,10.08,13.33,15.04
15.42,10.12,15.49,14.14,10.83,14.41,16.03
15.84,10.18,15.91,14.26,12.54,14.57,16.03
15.76,10.1,15.83,13.68,12.47,14.49,15.92
15.54,9.84,15.61,13.1,12.31,14.16,15.75
15.53,9.79,15.6,13.62,10.98,14.36,16.39
15.92,10.19,15.99,14.09,12.49,14.92,16.54
15.65,9.71,15.72,14.34,11.57,14.51,15.32
15.87,9.69,15.94,14.22,11.41,15.25,16.54
16.27,9.95,16.34,14.83,11.68,15.99,16.56
