,stream,year,date,doy,fishnum,pm,month,day,mag,old.id,id.1,stream_month_year,otorad,TL,FL,wht,totP,totN,PO4,NO3,afdm,chloro,drift.biomass,hess.biomass,hess.den.sep,shann.sep,drift.den.sep,drift.den.jul,hess.den.jul,shann.jul,oni,pre.oni,gr7d,standardized_by_doy,gr7d_standardized_by_fl,gr14d,gr21d,gr28d,gr50d,gr75d,gr100d,gr125d,otocapt,daily_max,daily_max_100day,daily_max_125day,daily_max_14day,daily_max_21day,daily_max_28day,daily_max_50day,daily_max_75day,daily_max_7day,daily_mean,daily_mean_100day,daily_mean_125day,daily_mean_14day,daily_mean_21day,daily_mean_28day,daily_mean_50day,daily_mean_75day,daily_mean_7day,depth_7day_average,CPUE
50,BVA,2007,8/30/2007,242,C4,No,8,30,20x,2007_BVA_C4_20x,BVA.2007.8.C4,BVA_8_2007,521.52,79,74,5.66,37.71514401,718.9165641,2.900539557,1.260669377,0.036498249,1578.597883,0.01285,NA,NA,NA,1.324466313,0.897451062,NA,NA,-0.4,-0.3,0.250628533,0.26552271,0.003386872,0.257160314,0.255055929,0.258474714,0.311964239,0.354502751,NA,NA,521.52,13.95388889,NA,NA,16.91396825,17.48637566,17.61712302,NA,NA,17.30111111,10.6147,NA,NA,12.37223882,12.81190508,12.9861469,NA,NA,12.34503485,NA,1.23
51,BVA,2007,8/30/2007,242,C10,No,8,30,_20x,2007_BVA_C10_20x,BVA.2007.8.C10,BVA_8_2007,594.32,90,85,6.35,37.71514401,718.9165641,2.900539557,1.260669377,0.036498249,1578.597883,0.01285,NA,NA,NA,1.324466313,0.897451062,NA,NA,-0.4,-0.3,0.247955051,0.258628806,0.002917118,0.293155207,0.301481527,0.29414862,0.331216531,0.41002093,0.446962474,NA,594.32,13.95388889,NA,NA,16.91396825,17.48637566,17.61712302,NA,NA,17.30111111,10.6147,NA,NA,12.37223882,12.81190508,12.9861469,NA,NA,12.34503485,NA,1.23
52,BVA,2007,8/30/2007,242,C3,No,8,30,20x,2007_BVA_C3_20x,BVA.2007.8.C3,BVA_8_2007,568.74,86,82,5.8,37.71514401,718.9165641,2.900539557,1.260669377,0.036498249,1578.597883,0.01285,NA,NA,NA,1.324466313,0.897451062,NA,NA,-0.4,-0.3,0.350847255,0.387375773,0.004278625,0.388435605,0.393511619,0.402208401,0.452578232,0.457031637,0.393641148,0.345296364,568.74,13.95388889,NA,NA,16.91396825,17.48637566,17.61712302,NA,NA,17.30111111,10.6147,NA,NA,12.37223882,12.81190508,12.9861469,NA,NA,12.34503485,NA,1.23
53,BVA,2007,8/30/2007,242,C1,No,8,30,20x,2007_BVA_C1_20x,BVA.2007.8.C1,BVA_8_2007,542.18,82,77,1.18,37.71514401,718.9165641,2.900539557,1.260669377,0.036498249,1578.597883,0.01285,NA,NA,NA,1.324466313,0.897451062,NA,NA,-0.4,-0.3,0.280893258,0.269104577,0.003647964,0.328899661,0.332882089,0.336286698,0.364356987,0.405811709,NA,NA,542.18,13.95388889,NA,NA,16.91396825,17.48637566,17.61712302,NA,NA,17.30111111,10.6147,NA,NA,12.37223882,12.81190508,12.9861469,NA,NA,12.34503485,NA,1.23
54,BVA,2007,8/30/2007,242,C6,No,8,30,20x,2007_BVA_C6_20x,BVA.2007.8.C6,BVA_8_2007,497.49,74,69,3.94,37.71514401,718.9165641,2.900539557,1.260669377,0.036498249,1578.597883,0.01285,NA,NA,NA,1.324466313,0.897451062,NA,NA,-0.4,-0.3,0.307186536,0.34180108,0.004451979,0.350477443,0.367817296,0.365070389,0.411277674,0.384438438,NA,NA,497.49,13.95388889,NA,NA,16.91396825,17.48637566,17.61712302,NA,NA,17.30111111,10.6147,NA,NA,12.37223882,12.81190508,12.9861469,NA,NA,12.34503485,NA,1.23
55,BVA,2007,8/30/2007,242,C8,No,8,30,20x,2007_BVA_C8_20x,BVA.2007.8.C8,BVA_8_2007,488.8,70,68,3.34,37.71514401,718.9165641,2.900539557,1.260669377,0.036498249,1578.597883,0.01285,NA,NA,NA,1.324466313,0.897451062,NA,NA,-0.4,-0.3,0.198824073,0.218577707,0.002923883,0.218256648,0.213954591,0.220012763,0.261283502,0.310137353,NA,NA,488.8,13.95388889,NA,NA,16.91396825,17.48637566,17.61712302,NA,NA,17.30111111,10.6147,NA,NA,12.37223882,12.81190508,12.9861469,NA,NA,12.34503485,NA,1.23
56,BVA,2007,8/30/2007,242,C5,No,8,30,20x,2007_BVA_C5_20x,BVA.2007.8.C5,BVA_8_2007,530.79,77,71,4.44,37.71514401,718.9165641,2.900539557,1.260669377,0.036498249,1578.597883,0.01285,NA,NA,NA,1.324466313,0.897451062,NA,NA,-0.4,-0.3,0.419390585,0.396603683,0.00590691,0.382723189,0.368967232,0.353496842,0.378426899,NA,NA,NA,530.79,13.95388889,NA,NA,16.91396825,17.48637566,17.61712302,NA,NA,17.30111111,10.6147,NA,NA,12.37223882,12.81190508,12.9861469,NA,NA,12.34503485,NA,1.23
57,BVA,2007,8/30/2007,242,C2,No,8,30,20x,2007_BVA_C2_20x,BVA.2007.8.C2,BVA_8_2007,556.74,88,82,1.18,37.71514401,718.9165641,2.900539557,1.260669377,0.036498249,1578.597883,0.01285,NA,NA,NA,1.324466313,0.897451062,NA,NA,-0.4,-0.3,0.379843728,0.361967751,0.004632241,0.353578999,0.395164569,0.403669686,0.481989284,0.454253012,0.390074263,NA,556.74,13.95388889,NA,NA,16.91396825,17.48637566,17.61712302,NA,NA,17.30111111,10.6147,NA,NA,12.37223882,12.81190508,12.9861469,NA,NA,12.34503485,NA,1.23
58,BVA,2007,8/30/2007,242,C7,No,8,30,20x,2007_BVA_C7_20x,BVA.2007.8.C7,BVA_8_2007,541.12,85,80,5.61,37.71514401,718.9165641,2.900539557,1.260669377,0.036498249,1578.597883,0.01285,NA,NA,NA,1.324466313,0.897451062,NA,NA,-0.4,-0.3,0.280671908,0.311335213,0.003508399,0.302658239,0.324073015,0.362491902,0.450746105,NA,NA,NA,541.12,13.95388889,NA,NA,16.91396825,17.48637566,17.61712302,NA,NA,17.30111111,10.6147,NA,NA,12.37223882,12.81190508,12.9861469,NA,NA,12.34503485,NA,1.23
59,BVA,2007,8/30/2007,242,C9,No,8,30,20x,2007_BVA_C9_20x,BVA.2007.8.C9,BVA_8_2007,498.55,80,74,4.7,37.71514401,718.9165641,2.900539557,1.260669377,0.036498249,1578.597883,0.01285,NA,NA,NA,1.324466313,0.897451062,NA,NA,-0.4,-0.3,0.205433572,0.209883673,0.002776129,0.214747831,0.21216904,0.220403084,0.286522608,0.330687181,NA,NA,498.55,13.95388889,NA,NA,16.91396825,17.48637566,17.61712302,NA,NA,17.30111111,10.6147,NA,NA,12.37223882,12.81190508,12.9861469,NA,NA,12.34503485,NA,1.23
763,SFS,2014,9/6/2014,249,C5,No,9,6,20x,2014_SFS_C5_20x,SFS.2014.9.C5,SFS_9_2014,500.92,87,79,5.67,17.64,439.72,8.64,0.92,NA,NA,0.0146,0.04515,288.5,2.849496069,0.584860723,1.681892501,288.5,2.849496069,0,-0.1,0.262062424,0.27882387,0.003317246,0.255671888,0.272728934,0.297592838,0.344913702,0.358684425,NA,NA,500.92,15.16,15.605,14.04024,15.725,15.93571429,16.32928571,17.481,17.3804,15.32,10.76666667,12.51419167,11.03397,12.10482143,12.59309524,13.13894345,14.201875,14.11260556,11.41303571,0.371892286,1.95
764,SFS,2014,9/6/2014,249,C6,No,9,6,20x,2014_SFS_C6_20x,SFS.2014.9.C6,SFS_9_2014,563.69,75,68,3.53,17.64,439.72,8.64,0.92,NA,NA,0.0146,0.04515,288.5,2.849496069,0.584860723,1.681892501,288.5,2.849496069,0,-0.1,0.376452999,0.426945406,0.005536074,0.413364902,0.409422979,0.359895376,0.40592769,0.418012766,NA,NA,563.69,15.16,15.605,14.04024,15.725,15.93571429,16.32928571,17.481,17.3804,15.32,10.76666667,12.51419167,11.03397,12.10482143,12.59309524,13.13894345,14.201875,14.11260556,11.41303571,0.371892286,1.95
765,SFS,2014,9/6/2014,249,C7,No,9,6,20x,2014_SFS_C7_20x,SFS.2014.9.C7,SFS_9_2014,571.19,93,85,7.2,17.64,439.72,8.64,0.92,NA,NA,0.0146,0.04515,288.5,2.849496069,0.584860723,1.681892501,288.5,2.849496069,0,-0.1,0.233068949,0.262647687,0.002741988,0.23746914,0.254133285,0.265644345,0.35056067,0.396311051,NA,NA,571.19,15.16,15.605,14.04024,15.725,15.93571429,16.32928571,17.481,17.3804,15.32,10.76666667,12.51419167,11.03397,12.10482143,12.59309524,13.13894345,14.201875,14.11260556,11.41303571,0.371892286,1.95
766,SFS,2014,9/6/2014,249,C1,No,9,6,20x,2014_SFS_C1_20x,SFS.2014.9.C1,SFS_9_2014,457.1,76,69,3.65,17.64,439.72,8.64,0.92,NA,NA,0.0146,0.04515,288.5,2.849496069,0.584860723,1.681892501,288.5,2.849496069,0,-0.1,0.198899513,0.235836341,0.002882602,0.210338195,0.240921359,0.264768,0.316372265,0.303055633,NA,NA,457.1,15.16,15.605,14.04024,15.725,15.93571429,16.32928571,17.481,17.3804,15.32,10.76666667,12.51419167,11.03397,12.10482143,12.59309524,13.13894345,14.201875,14.11260556,11.41303571,0.371892286,1.95
767,SFS,2014,9/6/2014,249,C9,No,9,6,20x,2014_SFS_C9_20x,SFS.2014.9.C9,SFS_9_2014,617.24,74,68,4.29,17.64,439.72,8.64,0.92,NA,NA,0.0146,0.04515,288.5,2.849496069,0.584860723,1.681892501,288.5,2.849496069,0,-0.1,0.307694049,0.440409921,0.004524912,0.363949393,0.398731255,0.410243714,0.465414422,0.467978359,NA,NA,617.24,15.16,15.605,14.04024,15.725,15.93571429,16.32928571,17.481,17.3804,15.32,10.76666667,12.51419167,11.03397,12.10482143,12.59309524,13.13894345,14.201875,14.11260556,11.41303571,0.371892286,1.95
768,SFS,2014,9/6/2014,249,C3,No,9,6,20x,2014_SFS_C3_20x,SFS.2014.9.C3,SFS_9_2014,512.94,89,81,6.39,17.64,439.72,8.64,0.92,NA,NA,0.0146,0.04515,288.5,2.849496069,0.584860723,1.681892501,288.5,2.849496069,0,-0.1,0.238685955,0.266434867,0.00294674,0.242713889,0.282056543,0.302869881,0.365329521,0.371667493,NA,NA,512.94,15.16,15.605,14.04024,15.725,15.93571429,16.32928571,17.481,17.3804,15.32,10.76666667,12.51419167,11.03397,12.10482143,12.59309524,13.13894345,14.201875,14.11260556,11.41303571,0.371892286,1.95
769,SFS,2014,9/6/2014,249,C4,No,9,6,20x,2014_SFS_C4_20x,SFS.2014.9.C4,SFS_9_2014,500.89,74,68,4.65,17.64,439.72,8.64,0.92,NA,NA,0.0146,0.04515,288.5,2.849496069,0.584860723,1.681892501,288.5,2.849496069,0,-0.1,0.287585428,0.228064746,0.004229197,0.253136638,0.272786638,0.287740011,0.342277277,0.359468361,NA,NA,500.89,15.16,15.605,14.04024,15.725,15.93571429,16.32928571,17.481,17.3804,15.32,10.76666667,12.51419167,11.03397,12.10482143,12.59309524,13.13894345,14.201875,14.11260556,11.41303571,0.371892286,1.95
770,SFS,2014,9/6/2014,249,C10,No,9,6,_20x,2014_SFS_C10_20x,SFS.2014.9.C10,SFS_9_2014,518.95,82,75,5.28,17.64,439.72,8.64,0.92,NA,NA,0.0146,0.04515,288.5,2.849496069,0.584860723,1.681892501,288.5,2.849496069,0,-0.1,0.364109105,0.34257686,0.004854788,0.336030756,0.35901784,0.38493346,0.42567715,NA,NA,NA,518.95,15.16,15.605,14.04024,15.725,15.93571429,16.32928571,17.481,17.3804,15.32,10.76666667,12.51419167,11.03397,12.10482143,12.59309524,13.13894345,14.201875,14.11260556,11.41303571,0.371892286,1.95
771,SFS,2014,9/6/2014,249,C2,No,9,6,20x,2014_SFS_C2_20x,SFS.2014.9.C2,SFS_9_2014,517.72,75,69,3.8,17.64,439.72,8.64,0.92,NA,NA,0.0146,0.04515,288.5,2.849496069,0.584860723,1.681892501,288.5,2.849496069,0,-0.1,0.306802577,0.281844587,0.004446414,0.281922464,0.314999212,0.332527689,0.379060018,0.392928012,NA,NA,517.72,15.16,15.605,14.04024,15.725,15.93571429,16.32928571,17.481,17.3804,15.32,10.76666667,12.51419167,11.03397,12.10482143,12.59309524,13.13894345,14.201875,14.11260556,11.41303571,0.371892286,1.95
772,SFS,2014,9/6/2014,249,C8,No,9,6,20x,2014_SFS_C8_20x,SFS.2014.9.C8,SFS_9_2014,481.86,72,65,3.34,17.64,439.72,8.64,0.92,NA,NA,0.0146,0.04515,288.5,2.849496069,0.584860723,1.681892501,288.5,2.849496069,0,-0.1,0.283386812,0.259798711,0.004359797,0.249425027,0.255565849,0.271275959,0.337665421,NA,NA,NA,481.86,15.16,15.605,14.04024,15.725,15.93571429,16.32928571,17.481,17.3804,15.32,10.76666667,12.51419167,11.03397,12.10482143,12.59309524,13.13894345,14.201875,14.11260556,11.41303571,0.371892286,1.95
147,CHO,2005,9/5/2005,248,C5,No,9,5,20x,2005_CHO_C5_20x,CHO.2005.9.C5,CHO_9_2005,468.63,74,69,3.44,13.93343853,39.59749731,1.994089407,19.17311298,0.015484623,1929.166428,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,0,0.30036461,0.364829799,0.00435311,0.325591666,0.345075173,0.353263763,0.318811813,0.282944783,NA,NA,468.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28
148,CHO,2005,9/5/2005,248,C1,No,9,5,20x,2005_CHO_C1_20x,CHO.2005.9.C1,CHO_9_2005,466.07,80,68,4.36,13.93343853,39.59749731,1.994089407,19.17311298,0.015484623,1929.166428,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,0,0.309872321,0.35894038,0.004556946,0.324930905,0.328385854,0.333592423,0.354160807,0.315875534,NA,NA,466.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28
149,CHO,2005,9/5/2005,248,C2,No,9,5,20x,2005_CHO_C2_20x,CHO.2005.9.C2,CHO_9_2005,488.68,85,79,6.07,13.93343853,39.59749731,1.994089407,19.17311298,0.015484623,1929.166428,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,0,0.279835832,0.301106843,0.003542226,0.290778631,0.298128013,0.308126379,0.337634124,0.345388681,NA,NA,488.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28
150,CHO,2005,9/5/2005,248,C10,No,9,5,_20x,2005_CHO_C10_20x,CHO.2005.9.C10,CHO_9_2005,590.74,100,85,9.91,13.93343853,39.59749731,1.994089407,19.17311298,0.015484623,1929.166428,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,0,0.258254708,0.266472431,0.003038291,0.259831002,0.270367327,0.285440634,0.367714329,0.414113436,NA,NA,590.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28
151,CHO,2005,9/5/2005,248,C11,No,9,5,_20x,2005_CHO_C11_20x,CHO.2005.9.C11,CHO_9_2005,429.15,86,74,5.64,13.93343853,39.59749731,1.994089407,19.17311298,0.015484623,1929.166428,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,0,0.170294883,0.269529587,0.002301282,0.215327234,0.227702147,0.23083001,0.304822684,0.298283872,NA,NA,429.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28
152,CHO,2005,9/5/2005,248,C3,No,9,5,20x,2005_CHO_C3_20x,CHO.2005.9.C3,CHO_9_2005,502.01,90,81,5.89,13.93343853,39.59749731,1.994089407,19.17311298,0.015484623,1929.166428,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,0,0.231586378,0.285099194,0.002859091,0.250920423,0.271356657,0.285572781,0.326953788,0.328386812,NA,NA,502.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28
153,CHO,2005,9/5/2005,248,C6,No,9,5,20x,2005_CHO_C6_20x,CHO.2005.9.C6,CHO_9_2005,508.81,88,74,6.68,13.93343853,39.59749731,1.994089407,19.17311298,0.015484623,1929.166428,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,0,0.294664185,0.321308566,0.003981948,0.303142546,0.314642159,0.327916739,0.36350028,0.354142801,NA,NA,508.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28
154,CHO,2005,9/5/2005,248,C8,No,9,5,20x,2005_CHO_C8_20x,CHO.2005.9.C8,CHO_9_2005,488.7,84,70,5.91,13.93343853,39.59749731,1.994089407,19.17311298,0.015484623,1929.166428,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,0,0.355763043,0.350090481,0.005082329,0.345697923,0.353937592,0.363838176,0.384388802,NA,NA,NA,488.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28
155,CHO,2005,9/5/2005,248,C4,No,9,5,20x,2005_CHO_C4_20x,CHO.2005.9.C4,CHO_9_2005,532.44,90,78,6.46,13.93343853,39.59749731,1.994089407,19.17311298,0.015484623,1929.166428,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,0,0.273628304,0.337886453,0.003508055,0.298108126,0.316922393,0.336407954,0.361672487,0.366414406,0.323279112,NA,532.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28
156,CHO,2005,9/5/2005,248,C7,No,9,5,20x,2005_CHO_C7_20x,CHO.2005.9.C7,CHO_9_2005,545.65,85,75,6.96,13.93343853,39.59749731,1.994089407,19.17311298,0.015484623,1929.166428,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,0,0.397788432,0.489639163,0.005303846,0.433719396,0.449692479,0.437927902,0.445879467,0.408664716,NA,NA,545.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28
