date,stream,id,PO4,NO3
6/21/2003,BVA,37793_BVA,8.721791784,2.445242759
6/23/2003,CHO,37795_CHO,1.719695114,3.789402755
6/23/2003,ELK,37795_ELK,5.691517636,8.368108331
6/23/2003,MAR,37795_MAR,0.950116251,5.977854668
6/24/2003,VAL,37796_VAL,0.625148953,4.432535599
6/25/2003,LAK,37797_LAK,3.63339142,0
6/26/2003,SFS,37798_SFS,5.206237081,0
7/28/2003,BVA,37830_BVA,7.249790502,0.401115867
7/29/2003,CHO,37831_CHO,1.522147633,0.879206904
7/29/2003,MAR,37831_MAR,1.124801887,14.70498062
7/30/2003,ELK,37832_ELK,4.18021879,0.157123842
7/30/2003,VAL,37832_VAL,0.854849434,0.987039055
7/31/2003,LAK,37833_LAK,7.673143661,0.437072947
8/4/2003,SFS,37837_SFS,6.945136447,1.028535378
8/21/2003,LAK,37854_LAK,8.316042119,0.231285635
8/25/2003,BVA,37858_BVA,3.931867451,0.773752938
8/25/2003,ELK,37858_ELK,5.877176268,6.19261119
8/25/2003,VAL,37858_VAL,1.324504225,3.66476092
8/26/2003,CHO,37859_CHO,1.675606691,4.440990802
8/26/2003,MAR,37859_MAR,1.606145068,21.57830228
8/27/2003,SFS,37860_SFS,6.645172067,0.041298968
9/15/2003,BVA,37879_BVA,4.12312259,0.162400483
9/16/2003,ELK,37880_ELK,3.688533052,0.712187806
9/17/2003,CHO,37881_CHO,1.555195657,0.198686198
9/17/2003,MAR,37881_MAR,0.792542989,28.21326447
9/18/2003,VAL,37882_VAL,2.120316687,5.179853003
9/21/2003,LAK,37885_LAK,6.049808972,0.105951842
9/25/2003,SFS,37889_SFS,5.838666942,0.027511375
7/12/2004,SFS,38180_SFS,6.763903875,1.213978392
7/13/2004,CHO,38181_CHO,1.324618452,1.642423751
7/14/2004,ELK,38182_ELK,4.063267103,0.604551721
7/15/2004,MAR,38183_MAR,0.884614758,13.6635678
7/16/2004,BVA,38184_BVA,7.125626023,0.773110742
7/16/2004,VAL,38184_VAL,1.665933357,3.762820233
